Entity ID,TM2 Code,Title,IndexTerm
562274788,,Module II,
1147241349,,Traditional medicine disorders (TM2),
627880448,,"Head, brain, nerve and movement disorders (TM2)",
1896371070,,Headache disorders (TM2),
1488428775,SK00,Cephalalgia disorder (TM2),Cephalalgia disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),"(a) śiraḥśūla, (b) Maṇṭaikkuttiyal, (c) Ṣudā‘"
1488428775,SK00,Cephalalgia disorder (TM2),(a) śiroruk
1488428775,SK00,Cephalalgia disorder (TM2),Heaviness of head disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Maṇṭai kaṇappu
1488428775,SK00,Cephalalgia disorder (TM2),Scalp pain disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Maṇṭai cūlai
1488428775,SK00,Cephalalgia disorder (TM2),Aiya aggravation and headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Cilēṭṭuma talai nōkkāṭu
1488428775,SK00,Cephalalgia disorder (TM2),Mukkuṟṟam aggravation and headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Caṉṉivāta nōkkāṭu
1488428775,SK00,Cephalalgia disorder (TM2),Vaḷi aggravation and headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Vātattalai nōkkāṭu
1488428775,SK00,Cephalalgia disorder (TM2),Cluster headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) Oru talaiyiṉ vartam
1488428775,SK00,Cephalalgia disorder (TM2),Circumferential headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Bayḍa-o-Khūdha
1488428775,SK00,Cephalalgia disorder (TM2),Organic Headache (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),Helmet Headache (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),Catarrhal headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Nazlī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to weakness of brain disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Ḍu‘f Dimāghī
1488428775,SK00,Cephalalgia disorder (TM2),Occipital headache due to hypertension disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(b) SIratta pitta nōkkāṭu
1488428775,SK00,Cephalalgia disorder (TM2),Head disorder due to depletion of fundamental structural components disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(a) kṣayajaśirorogaḥ
1488428775,SK00,Cephalalgia disorder (TM2),Temporal headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(a) śaṅkhakaḥ
1488428775,SK00,Cephalalgia disorder (TM2),Throbbing headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Ḍarabānī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to smell disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Shammī
1488428775,SK00,Cephalalgia disorder (TM2),Trigeminal neuralgia disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(a) anantavātaḥ
1488428775,SK00,Cephalalgia disorder (TM2),Referred headache due to the involvement of the liver disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Shirkī Kabidī
1488428775,SK00,Cephalalgia disorder (TM2),Referred headache due to the involvement of the peritoneum disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Marāqī
1488428775,SK00,Cephalalgia disorder (TM2),Referred headache due to the involvement of the stomach disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Shirkī Mi‘dī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to derangement of Ṣafrā’ disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Ṣafrāwī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to derangement of Balgham disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Balghamī
1488428775,SK00,Cephalalgia disorder (TM2),Inflammatory headache disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Waramī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to external Bukhārāt disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Bukhārī Khārijī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to excessive coldness disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Bārid
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to excessive hotness disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Ḥārr
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to external Rīḥ disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Rīḥī Khārijī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to derangement of Dam disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Damawī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to derangement of Sawdā’ disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Sawdāwī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to internal Bukhārāt disorder (TM2)
1488428775,SK00,Cephalalgia disorder (TM2),(c) Ṣudā‘ Bukhārī Dākhilī
1488428775,SK00,Cephalalgia disorder (TM2),Headache due to internal Rīḥ disorder (TM2)
